p/q,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
37,,,,,,,,,,,,,,,,,,,,,,,,780,781,782,783,784,785,,,,,
36,,,,,,,,,,,,,,,,,,,,,,559,273,718,442,8,645,41,729,786,,,,
35,,,,,,,,,,,,,,,,,,,,675,131,412,303,702,692,744,222,343,352,295,288,,,
34,,,,,,,,,,,,,,,,,,478,19,644,386,622,720,518,473,753,693,223,237,65,380,448,,
33,,,,,,,,,,,,,,,,155,560,311,713,684,43,360,748,70,398,493,625,707,186,202,576,494,,
32,,,,,,,,,,,,,,123,672,712,469,75,539,301,188,292,639,133,370,567,428,618,680,282,138,767,207,
31,,,,,,,,,,,,163,60,201,688,106,309,1,763,46,143,340,378,260,160,50,393,582,329,284,631,719,660,
30,,,,,,,,,,691,314,774,532,704,12,695,383,200,287,541,246,553,358,689,21,404,547,356,336,621,472,322,438,787
29,,,,,,,,,281,25,121,150,101,82,210,731,278,508,299,232,661,616,696,457,462,711,39,456,172,440,353,570,402,788
28,,,,,,,,,156,2,572,305,227,239,375,308,122,509,742,437,738,429,418,5,168,166,737,658,147,310,359,324,453,796
27,,,,,,,,47,154,736,739,221,443,574,490,432,279,555,489,468,84,176,42,476,31,760,607,668,78,257,105,252,629,778
26,,,,,,,554,117,275,110,228,267,93,193,298,242,392,654,765,479,510,421,261,762,127,601,482,586,216,425,187,587,584,779
25,,,,,,,613,238,492,211,248,112,97,214,283,90,732,434,445,504,396,289,32,745,466,350,326,302,33,388,451,414,775,
24,,,,,,764,641,422,690,384,265,699,170,115,54,263,206,119,752,196,599,556,677,772,623,523,66,68,503,679,755,756,776,
23,,,,,,515,355,259,408,687,562,45,522,538,477,746,113,319,91,638,663,92,608,87,130,374,348,605,165,357,94,226,777,
22,,,,,381,394,615,7,184,317,245,162,475,426,703,59,550,236,649,636,377,69,590,218,178,58,102,573,99,253,463,34,,
21,,,,,376,346,568,175,337,519,61,240,424,195,609,749,447,22,145,224,751,648,335,230,405,126,63,80,53,700,30,646,,
20,,,,706,148,417,390,626,86,659,651,76,485,410,177,338,250,747,136,588,37,683,528,140,581,715,235,714,721,643,217,,,
19,,,,323,653,652,407,685,527,647,315,190,6,71,164,120,628,486,501,234,132,673,546,306,630,9,499,545,415,189,759,,,
18,,,,280,255,507,642,514,551,209,430,40,320,543,29,38,627,531,705,73,276,536,768,271,365,502,125,498,339,728,,,,
17,,,389,367,349,347,244,55,579,439,614,413,264,589,701,409,372,487,734,79,534,330,364,495,28,561,36,575,192,,,,,
16,,,604,179,183,674,513,108,419,431,540,116,157,757,194,181,26,529,662,465,118,724,694,770,670,569,215,496,103,,,,,
15,,,134,733,596,247,151,530,403,723,24,74,433,361,146,17,766,15,272,203,464,597,229,327,274,304,727,159,,,,,,
14,,366,411,761,258,23,634,741,67,98,191,526,549,270,124,220,77,213,591,602,552,458,325,198,517,88,488,,,,,,,
13,,4,368,619,385,474,16,344,251,754,199,656,96,452,740,483,382,158,49,391,204,758,512,497,291,313,321,,,,,,,
12,,48,558,460,397,142,617,640,387,571,129,506,262,100,450,416,678,716,109,316,459,81,655,730,620,792,,,,,,,,
11,399,671,135,676,467,401,611,351,533,436,139,56,249,185,600,484,481,312,205,369,219,420,665,491,153,,,,,,,,,
10,708,725,603,520,681,525,606,169,167,548,331,446,114,345,20,444,470,566,137,635,371,363,277,107,,,,,,,,,,
9,612,650,709,580,52,243,197,51,296,624,212,342,593,544,231,578,44,328,682,698,268,461,535,,,,,,,,,,,
8,789,354,657,633,585,395,333,294,89,598,241,441,152,161,233,454,511,557,521,500,455,793,,,,,,,,,,,,
7,,790,13,266,286,537,697,373,362,269,423,379,669,174,577,563,3,57,182,297,,,,,,,,,,,,,,
6,,791,104,565,27,35,735,717,83,632,480,300,293,18,10,149,542,595,144,,,,,,,,,,,,,,,
5,,,72,14,334,406,111,610,128,637,524,318,427,435,449,722,11,666,,,,,,,,,,,,,,,,
4,,,62,667,664,225,173,254,564,85,95,256,773,285,341,594,,,,,,,,,,,,,,,,,,
3,,,,400,726,180,471,583,750,64,686,208,171,743,516,,,,,,,,,,,,,,,,,,,
2,,,,,,592,771,332,710,290,141,505,795,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,769,794,307,,,,,,,,,,,,,,,,,,,,,,,,
